title,link,organization,rating,skills,difficulty,duration
IBM Data Analyst,https://www.coursera.org/professional-certificates/ibm-data-analyst,IBM,4.6,"Data Storytelling, Dashboard, Data Visualization Software, Plotly, Data Visualization, SQL, Predictive Modeling, Generative AI, Interactive Data Visualization, Exploratory Data Analysis, Data Wrangling, Data Analysis, Jupyter, Big Data, Matplotlib, IBM Cognos Analytics, Excel Formulas, Python Programming, Professional Networking, Microsoft Excel",Beginner,3 - 6 Months
Meta Data Analyst,https://www.coursera.org/professional-certificates/meta-data-analyst,Meta,4.7,"Data Storytelling, Business Metrics, Key Performance Indicators (KPIs), Data Management, Data Collection, Data Governance, Bayesian Statistics, Data Visualization, Descriptive Statistics, Statistical Hypothesis Testing, Information Privacy, Data Cleansing, Pandas (Python Package), Data Quality, Data Analysis, Data Visualization Software, Spreadsheet Software, Exploratory Data Analysis, SQL, Python Programming",Beginner,3 - 6 Months
Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics,Google,4.8,"Data Storytelling, Rmarkdown, Data Literacy, Data Visualization, Data Presentation, Data Ethics, Data Cleansing, Interactive Data Visualization, Data Validation, Ggplot2, Tableau Software, Sampling (Statistics), Presentations, Spreadsheet Software, Data Analysis, Data Visualization Software, Stakeholder Communications, LinkedIn, Interviewing Skills, Applicant Tracking Systems",Beginner,3 - 6 Months
Excel Basics for Data Analysis,https://www.coursera.org/learn/excel-basics-data-analysis-ibm,IBM,4.8,"Excel Formulas, Microsoft Excel, Data Cleansing, Data Analysis, Data Import/Export, Spreadsheet Software, Data Wrangling, Data Quality, Pivot Tables And Charts, Google Sheets, Data Manipulation, Data Science, Data Visualization Software, Information Privacy",Beginner,1 - 3 Months
Microsoft Power BI Data Analyst,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst,Microsoft,4.6,"Power BI, Microsoft Excel, Data Analysis, Data Visualization, Data Storage, Data Collection, Data Quality, Business Intelligence, Timelines, Microsoft Power Platform, Advanced Analytics, Database Design, Statistical Reporting, Statistical Visualization, Analytical Skills, Data Integration, Data Storage Technologies, SQL, Data Manipulation, Microsoft SQL Servers",Beginner,3 - 6 Months
Introduction to Data Analytics,https://www.coursera.org/learn/introduction-to-data-analytics,IBM,4.8,"Big Data, Data Analysis, Statistical Analysis, Apache Hadoop, Data Wrangling, Apache Hive, Data Collection, Data Mart, Data Science, Data Warehousing, Data Visualization, Data Cleansing, Apache Spark, Data Lakes, Data Visualization Software, Microsoft Excel",Beginner,1 - 3 Months
Generative AI Data Analyst,https://www.coursera.org/specializations/generative-ai-data-analyst,Vanderbilt University,4.8,"Data Storytelling, Prompt Engineering, Data Presentation, ChatGPT, Data Synthesis, Microsoft Excel, Productivity, Infographics, Document Management, Data Analysis, SQL, Generative AI, Artificial Intelligence, Data Visualization, Data Cleansing, Large Language Modeling, Data Import/Export, Statistical Reporting, Data Integration, Databases",Beginner,3 - 6 Months
Google Advanced Data Analytics,https://www.coursera.org/professional-certificates/google-advanced-data-analytics,Google,4.7,"Data Storytelling, Data Visualization, Data Ethics, Exploratory Data Analysis, Sampling (Statistics), Data Presentation, Data Visualization Software, Regression Analysis, Feature Engineering, Descriptive Statistics, Statistical Hypothesis Testing, Advanced Analytics, Data Analysis, Data Science, Tableau Software, Statistical Analysis, Machine Learning, Object Oriented Programming (OOP), Interviewing Skills, Python Programming",Advanced,3 - 6 Months
"Python for Data Science, AI & Development",https://www.coursera.org/learn/python-for-applied-data-science-ai,IBM,4.6,"Jupyter, Python Programming, Data Structures, Web Scraping, Data Manipulation, Programming Principles, Pandas (Python Package), Computer Programming, Object Oriented Programming (OOP), Restful API, NumPy, Application Programming Interface (API), Data Analysis, Data Import/Export, File Management",Beginner,1 - 3 Months
Google Cloud Data Analytics,https://www.coursera.org/professional-certificates/google-cloud-data-analytics-certificate,Google Cloud,4.4,"Data Lakes, Data Storytelling, Data Governance, Data Visualization, Data Presentation, Data Architecture, Data Pipelines, Data Visualization Software, Dashboard, Cloud Infrastructure, Generative AI, Data Cleansing, Data Management, Cloud Storage, Data Transformation, Cloud Computing, Google Cloud Platform, Database Management, Data Ethics, Data Analysis",Beginner,3 - 6 Months
